"","id","cal_d13C","cal_d15N","cal_d34S","FA_C16_0","FA_C16_1","FA_C18_0","FA_C18_1","FA_C18_2n6","FA_C18_3n3","FA_C18_4n3","FA_C20_1","FA_C20_4n3","FA_C20_5n3","FA_C22_1","FA_C22_5n3","FA_C22_6n3","FA_C24_1"
"84","RS-20",-22.1574510952426,11.2008062668218,18.6593594306275,16.6239400512719,4.94971406034313,2.44527706566752,19.3255768093078,1.1831985801617,0.788799053441136,1.38039834352199,14.0603431275882,0.907118911457306,8.97258923289292,9.84026819167817,2.34667718398738,10.392427529087,0.867678958785249
"86","RS-21",-22.2835552684209,10.9679828368622,18.6590391282779,16.5676673623375,5.12120725638144,3.13051854230213,19.4252689035158,1.20404559319313,0.786643120886177,1.63750200674266,14.8659495906245,0.850858885856478,8.15540215122813,10.2905763364906,2.15122812650506,8.90993738962915,0.866912827099053
"88","RS-22",-22.1692733614781,11.324242826671,18.9906803308312,15.7494819249367,3.10845037992171,4.32880497352061,18.8118811881188,1.74994243610408,1.12825236011973,2.1644024867603,13.0094404789316,1.03615012664057,6.93069306930693,11.4667280681557,1.72691687773428,11.9272392355515,0.99009900990099
"90","RS-23",-21.9994924824855,11.7999251792609,18.7653597520812,16.6050085372794,5.10813887307911,3.51451337507114,19.7922595332954,1.22367672168469,0.811041548093341,1.80705748434832,13.7450199203187,0.882185543540125,8.32384746727376,9.6613545816733,2.19123505976096,9.14911781445646,0.867956744450768
"92","RS-24",-21.3338332141721,11.1536394512696,18.6925316670578,16.9855442176871,4.67687074829932,3.86904761904762,19.0688775510204,1.16921768707483,0.807823129251701,1.80697278911565,12.733843537415,0.850340136054422,8.52465986394558,8.94982993197279,2.2108843537415,11.8622448979592,0.914115646258503
"94","RS-25",-22.3111405563036,11.593194030245,18.5644809350118,17.2015942941053,4.71994965387036,3.60813929095867,18.9007761694986,1.13278791692889,0.755191944619257,1.65722676735893,13.4675896790434,0.839102160688064,8.60079714705265,9.31403398363751,2.26557583385777,10.71953010279,0.881057268722467
"96","RS-26",-21.4303817217617,11.2409482375045,18.6359736356628,18.0397127165188,3.88677651035065,4.43599493029151,17.4059991550486,1.05618926911703,0.760456273764259,1.73215040135192,11.660329531052,0.80270384452894,9.37896070975919,7.81580059146599,2.28136882129278,14.3641740599916,0.971694127587664
"98","RS-27",-21.5574710837929,11.353345755416,18.7153994809516,16.363188976378,3.27263779527559,3.88779527559055,18.503937007874,1.72244094488189,1.15649606299213,2.04232283464567,11.884842519685,1.13188976377953,7.8001968503937,10.5068897637795,1.74704724409449,13.3120078740158,0.984251968503937
"100","RS-28",-21.3505814246723,11.2690476169824,19.0548685692736,20.3074951953876,1.9859064702114,6.14990390775144,11.4670083279949,1.40935297885971,1.02498398462524,2.04996796925048,7.11082639333761,0.960922485586163,9.92953235105702,6.2780269058296,1.85778347213325,23.2543241511851,1.02498398462524
"102","RS-29",-21.8825834052681,11.2891186023237,18.7156001343233,17.2964550058434,4.96688741721854,3.46708219711726,18.1729645500584,1.32450331125828,0.798597584729256,1.53876119984418,14.6279703934554,0.837553564472146,8.10284378652123,10.1675107128944,2.16205687573042,9.62212699649396,0.895987534086482
"104","RS-3",-23.6687307956759,11.5159207366809,18.8043752805073,15.9702272133716,3.32985113606686,2.97727866283625,19.182554191695,1.8673282841473,1.22747453643249,2.0109689213894,12.836249673544,1.13606685818752,7.27343954034996,11.5565421781144,1.80203708540089,12.0527552885871,0.887960302951162
"106","RS-30",-21.7348050773248,11.3322712208076,18.7338091385766,17.3987310883358,4.70961444607126,3.53831137140068,17.6915568570034,1.26891166422645,0.780868716447048,1.48853099072718,13.9824304538799,0.854075158613958,8.78477306002929,9.83406539775501,2.26939970717423,10.5905319668131,0.902879453391899
"108","RS-4",-23.2874627095822,11.1576536483379,18.6493134468849,14.6929287986298,3.48666503547835,2.74039637876193,19.6231954979202,1.95742598482995,1.26009297773428,2.07976510888182,14.705162711035,1.17445559089797,6.87545877171519,13.1759236603866,1.74944947394177,9.48128211402006,0.9542451676046
"110","RS-5",-22.7958534719576,11.577137241972,18.3108929873403,16.6743295019157,5.10344827586207,2.4367816091954,19.4329501915709,1.22605363984674,0.827586206896552,1.48659003831418,14.4061302681992,0.888888888888889,8.5823754789272,9.8544061302682,2.13026819923372,10.0689655172414,0.827586206896552
"112","RS-6",-22.7731941283396,11.6473856906667,18.3293935460221,17.0910301214844,5.02579464137128,2.61274754534864,19.2544516558496,1.19820269595607,0.882010317856549,1.59760359460809,13.8292561158263,0.882010317856549,8.78681977034448,9.45248793476452,2.24663005491762,10.0183058745216,0.848726909635547
"114","RS-7",-21.4954041860567,11.3342783193417,18.3971440107924,17.7926158680283,3.80989787902592,4.04556166535742,19.9135899450118,1.09976433621367,0.628436763550668,1.76747839748625,10.9190887666929,0.864100549882168,8.95522388059702,7.22702278083268,2.1209740769835,14.0219952867243,0.864100549882168
"116","RS-8",-21.6185527926761,11.4797929630664,18.3906469453196,18.0434782608696,3.56521739130435,4.08695652173913,19.1739130434783,1.08695652173913,0.739130434782609,1.78260869565217,10.3478260869565,0.782608695652174,9.8695652173913,6.95652173913043,2.08695652173913,15.0434782608696,0.956521739130435
"118","RS-9",-21.1515732763754,11.2720582647836,18.3928043674272,18.6179326099372,2.85551113649343,4.22615648201028,17.1901770416905,0.970873786407767,0.742432895488293,1.8275271273558,7.82410051399201,0.742432895488293,11.1936036550543,5.19703026841805,2.22729868646488,20.445459737293,0.913763563677898
"120","US-1",-22.3918026539255,10.9112527351972,19.0334580692373,20.4304998175848,3.13754104341481,5.14410798978475,18.7887632251003,0.0364830353885443,0.620211601605254,0.620211601605254,3.13754104341481,0.766143743159431,5.87376869755564,12.8055454213791,1.42283838015323,19.9927033929223,1.38635534476468
"122","US-10",-21.2521606994271,11.7369651195014,18.8373192799232,19.4509345794393,2.68691588785047,4.61448598130841,17.0560747663551,1.22663551401869,0.759345794392523,1.28504672897196,5.78271028037383,1.05140186915888,9.11214953271028,3.67990654205607,3.15420560747664,24.0070093457944,0.876168224299065
"124","US-11",-23.7376655335237,10.8218870251813,19.2327434701446,14.3912982847581,2.59378050481104,3.84883558778413,15.7439687630735,1.22716497001813,0.948263840468554,1.24111002649561,20.4573978524613,0.962208896946033,4.23929716915354,13.777715799749,1.33872542183796,11.3512759726677,1.17138474410821
"126","US-12",-22.0849380237532,11.4534716499004,18.6820864413217,19.893255701116,2.28044638524988,6.11353711790393,14.0708393983503,1.40708393983503,0.921882581271228,2.28044638524988,7.13245997088792,0.873362445414847,8.00582241630277,3.97865114022319,1.9893255701116,24.5997088791849,0.776322173702086
"128","US-13",-22.4066031987892,11.1552512468136,18.8205373514258,17.0039720068092,4.31246453565349,3.29109135615661,20.938150179686,1.74011726877246,1.05920181577454,3.02629090221297,9.43824475127672,1.49423113296766,8.13315679969737,7.47115566483828,2.11840363154908,11.8971061093248,0.69982977113675
